55||大剧院|Grand Theater|1|5|1|26|169|-1|-1|-1|260|310|-1|-1|-1|1
56||湖贝|Hubei|1|2|1|-1|-1|-1|-1|-1|167|-1|-1|-1|-1|1
57||黄贝岭|Huangbeiling|1|2|1|166|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
58||新秀|Xinxiu|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
59||莲塘口岸|Liantang Checkpoint|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
60||仙湖路|Xianhu Rd|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
61||莲塘|Liantang|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
62||梧桐山南|Wutong Mountain South|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
63||沙头角|Shatoujiao|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
64||海山|Haishan|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
65||盐田港西|Yantian Port West|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
66||深外高中|Shenwai Senior Campus|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
67||盐田路|Yantian Rd|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
68||鸿安围|Honganwei|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
69||盐田墟|Yantianxu|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
70||大梅沙|Dameisha|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
71||小梅沙|Xiaomeisha|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
72||溪涌|Xichong|0|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0
73||福保|Futian Bonded Area|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
74||益田|Yitian|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
75||石厦|Shixia|1|2|2|218|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
76||购物公园|Shopping Park|1|2|2|21|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
77||福田|Futian|1|3|2|50|306|-1|-1|-1|-1|-1|-1|-1|-1|1
78||少年宫|Children's Palace|1|2|2|114|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
79||莲花村|Lianhuacun|1|2|2|269|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
80||华新|Huaxin|1|2|2|225|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
81||通新岭|Tongxinling|1|2|2|171|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
82||红岭|Hongling|1|2|2|259|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
83||老街|Laojie|1|3|2|27|-1|-1|-1|-1|168|-1|-1|-1|-1|1
84||晒布|Shaibu|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
85||翠竹|Cuizhu|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
86||田贝|Tianbei|1|2|2|231|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
87||水贝|Shuibei|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
88||草埔|Caopu|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
89||布吉|Buji|1|3|2|161|382|-1|-1|-1|-1|-1|-1|-1|-1|1
90||木棉湾|Mumianwan|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
91||大芬|Dafen|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
92||丹竹头|Danzhutou|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
93||六约|Liuyue|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
94||塘坑|Tangkeng|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
95||横岗|Henggang|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
96||永湖|Yonghu|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
97||大运|Universiade|1|3|2|387|405|-1|-1|-1|-1|-1|-1|-1|-1|1
98||爱联|Ailian|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
99||吉祥|Jixiang|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
100||龙城广场|Longcheng Square|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
101||南联|Nanlian|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
102||双龙|Shuanglong|1|2|2|414|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
103||梨园|Liyuan|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
104||新生|Xinsheng|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
105||坪西|Pingxi|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
106||低碳城|Low Carbon City|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
107||白石塘|Baishitang|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
108||富坪|Fuping|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
109||坪地六联|Pingdi Liulian|0|1|2|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
110||福田口岸|Futian Checkpoint|1|2|3|-1|-1|-1|-1|-1|265|-1|-1|-1|-1|1
111||福民|Fumin|1|3|3|220|266|-1|-1|-1|-1|-1|-1|-1|-1|1
112||会展中心|Convention & Exhibition Center|1|2|3|22|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
113||市民中心|Civic Center|1|2|3|51|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
114||少年宫|Children's Palace|1|2|3|78|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
115||莲花北|Lianhua North|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
116||上梅林|Shangmeilin|1|2|3|253|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
117||民乐|Minle|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
118||白石龙|Baishilong|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
119||深圳北站|Shenzhen North Station|1|3|3|153|177|-1|-1|-1|-1|-1|-1|-1|-1|1
120||红山|Hongshan|1|2|3|178|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
121||上塘|Shangtang|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
122||龙胜|Longsheng|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
123||龙华|Longhua|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
124||清湖|Qinghu|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
125||清湖北|Qinghu North|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
126||竹村|Zhucun|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
127||茜坑|Xikeng|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
128||长湖|Changhu|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
129||观澜|Guanlan|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
130||松元厦|Songyuanxia|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
131||观澜湖|Mission Hills|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
132||牛湖|Niuhu|0|1|3|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
133||赤湾|Chiwan|1|2|4|30|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
134||荔湾|Liwan|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
135||铁路公园|Railway Park|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
136||妈湾|Mawan|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
137||前湾公园|Qianwan Park|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
138||前湾|Qianwan|1|2|4|233|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
139||桂湾|Guiwan|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
140||前海湾|Qianhaiwan|1|3|4|8|301|-1|-1|-1|-1|-1|-1|-1|-1|1
141||临海|Linhai|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
142||宝华|Baohua|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
143||宝安中心|Bao'an Center|1|2|4|6|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
144||翻身|Fanshen|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
145||灵芝|Lingzhi|1|2|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
146||洪浪北|Honglang North|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
147||兴东|Xingdong|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
148||留仙洞|Liuxiandong|1|2|4|362|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
149||西丽|Xili|1|2|4|207|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
150||大学城|University Town|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
151||塘朗|Tanglang|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
152||长岭陂|Changlingpi|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
153||深圳北站|Shenzhen North Station|1|3|4|119|177|-1|-1|-1|-1|-1|-1|-1|-1|1
154||民治|Minzhi|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
155||五和|Wuhe|1|2|4|275|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
156||坂田|Bantian|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
157||杨美|Yangmei|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
158||上水径|Shangshuijing|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
159||下水径|Xiashuijing|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
160||长龙|Changlong|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
161||布吉|Buji|1|3|4|89|382|-1|-1|-1|-1|-1|-1|-1|-1|1
162||百鸽笼|Baigelong|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
163||布心|Buxin|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
164||太安|Tai'an|1|2|4|232|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
165||怡景|Yijing|0|1|4|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
166||黄贝岭|Huangbeiling|1|2|4|57|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
167||湖贝|Hubei|1|2|4|-1|-1|-1|-1|-1|56|-1|-1|-1|-1|0
168||东门|Dongmen|1|3|4|-1|-1|-1|-1|-1|27|83|-1|-1|-1|0
169||大剧院|Grand Theater|1|5|4|26|55|-1|-1|-1|261|310|-1|-1|-1|0
170||科学馆|Science Museum|1|2|5|25|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
171||通新岭|Tongxinling|1|2|5|81|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
172||体育中心|Sports Center|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
173||八卦岭|Bagualing|1|2|5|227|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
174||银湖|Yinhu|1|2|5|255|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
175||翰岭|Hanling|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
176||梅林关|Meilinguan|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
177||深圳北站|Shenzhen North Station|1|3|5|119|153|-1|-1|-1|-1|-1|-1|-1|-1|1
178||红山|Hongshan|1|2|5|120|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
179||上芬|Shangfen|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
180||元芬|Yuanfen|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
181||阳台山东|Yangtai Mountain East|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
182||官田|Guantian|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
183||上屋|Shangwu|1|2|5|367|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
184||长圳|Changzhen|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
185||凤凰城|Fenghuang Town|1|2|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
186||光明大街|Guangming St|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
187||光明|Guangming|1|2|5|200|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
188||科学公园|Science Park|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
189||楼村|Loucun|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
190||红花山|Honghuashan|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
191||公明广场|Gongming Square|1|2|5|375|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
192||合水口|Heshuikou|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
193||薯田埔|Shutianpu|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
194||松岗公园|Songgang Park|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
195||溪头|Xitou|0|1|5|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
196||松岗|Songgang|1|3|5|290|348|-1|-1|-1|-1|-1|-1|-1|-1|1
197||光明城|Guangmingcheng|1|2|6|369|-1|-1|-1|-1|-1|-1|-1|-1|-1|0
198||虹桥公园|Hongqiao Park|0|1|6|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0
199||碧眼|Biyan|0|1|6|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|0
200||光明|Guangming|1|2|6|187|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
201||圳美|Zhenmei|0|1|6|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
202||中大|Sun Yat-sen University|0|1|6|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
203||深理工|SUAT|0|1|6|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
204||深大丽湖|SZU Lihu Campus|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
205||北大|Peking University|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
206||西丽湖|Xili Lake|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
207||西丽|Xili|1|2|7|149|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
208||茶光|Chaguang|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
209||珠光|Zhuguang|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
210||龙井|Longjing|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
211||桃源村|Taoyuancun|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
212||深云|Shenyun|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
213||安托山|Antuo Hill|1|2|7|44|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
214||农林|Nonglin|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
215||车公庙|Chegongmiao|1|4|7|19|247|305|-1|-1|-1|-1|-1|-1|-1|1
216||上沙|Shangsha|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
217||沙尾|Shawei|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
218||石厦|Shixia|1|2|7|75|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
219||皇岗村|Huanggangcun|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
220||福民|Fumin|1|3|7|111|266|-1|-1|-1|-1|-1|-1|-1|-1|1
221||皇岗口岸|Huanggang Checkpoint|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
222||赤尾|Chiwei|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
223||华强南|Huaqiang South|1|2|7|309|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
224||华强北|Huaqiang North|1|2|7|53|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
225||华新|Huaxin|1|2|7|80|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
226||黄木岗|Huangmugang|1|2|7|380|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
227||八卦岭|Bagualing|1|2|7|173|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
228||红岭北|Honglingbei|1|2|7|257|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
229||笋岗|Shungang|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
230||洪湖|Honghuashan|0|1|7|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
231||田贝|Tianbei|1|2|7|86|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
232||太安|Tai'an|1|2|7|164|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
233||前湾|Qianwan|1|2|9|138|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
234||梦海|Menghai|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
235||怡海|Yihai|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
236||荔林|Litchi Orchards|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
237||南油西|Nanyou West|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
238||南油|Nanyou|1|2|9|316|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
239||南山书城|Nanshan Book Mall|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
240||深大南|Shenzhen University South|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
241||粤海门|Yuehaimen|1|2|9|356|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
242||高新南|Hi-Tech South|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
243||红树湾南|Hongshuwan South|1|2|9|304|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
244||深湾|Shenwan|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
245||深圳湾公园|Shenzhen Bay Park|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
246||下沙|Xiasha|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
247||车公庙|Chegongmiao|1|4|9|19|215|305|-1|-1|-1|-1|-1|-1|-1|1
248||香梅|Xiangmei|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
249||景田|Jingtian|1|2|9|48|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
250||梅景|Meijing|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
251||下梅林|Xiameilin|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
252||梅村|Meicun|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
253||上梅林|Shangmeilin|1|2|9|116|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
254||孖岭|Maling|1|2|9|271|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
255||银湖|Yinhu|1|2|9|174|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
256||泥岗|Nigang|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
257||红岭北|Honglingbei|1|2|9|228|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
258||园岭|Yuanling|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
259||红岭|Hongling|1|2|9|82|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
260||红岭南|Hongling South|1|5|9|-1|-1|-1|-1|-1|26|55|169|310|-1|1
261||鹿丹村|Ludancun|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
262||人民南|Renmin South|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
263||向西村|Xiangxicun|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
264||文锦|Wenjin|0|1|9|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
265||福田口岸|Futian Checkpoint|1|2|10|-1|-1|-1|-1|-1|110|-1|-1|-1|-1|1
266||福民|Fumin|1|3|10|111|220|-1|-1|-1|-1|-1|-1|-1|-1|1
267||岗厦|Gangxia|1|2|10|23|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
268||岗厦北|Gangxia North|1|4|10|52|307|379|-1|-1|-1|-1|-1|-1|-1|1
269||莲花村|Lianhuacun|1|2|10|79|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
270||冬瓜岭|Donggualing|0|1|10|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
271||孖岭|Maling|1|2|10|254|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
272||雅宝|Yabao|0|1|10|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
273||南坑|Nankeng|0|1|10|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
274||光雅园|Guangyayuan|0|1|10|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1
